date,issues
2017-11-12,17
2017-11-13,18
2017-11-14,41
2017-11-15,34
2017-11-16,41
2017-11-17,36
2017-11-18,21
2017-11-19,8
2017-11-20,32
2017-11-21,39
2017-11-22,37
2017-11-23,33
2017-11-24,25
2017-11-25,12
2017-11-26,10
2017-11-27,33
2017-11-28,33
2017-11-29,25
2017-11-30,34
2017-12-01,35
2017-12-02,10
2017-12-03,20
2017-12-04,26
2017-12-05,34
2017-12-06,28
2017-12-07,24
2017-12-08,32
2017-12-09,14
2017-12-10,14
2017-12-11,29
2017-12-12,42
2017-12-13,26
2017-12-14,24
2017-12-15,34
2017-12-16,12
2017-12-17,9
2017-12-18,30
2017-12-19,34
2017-12-20,38
2017-12-21,36
2017-12-22,28
2017-12-23,10
2017-12-24,12
2017-12-25,13
2017-12-26,17
2017-12-27,26
2017-12-28,28
2017-12-29,20
2017-12-30,20
2017-12-31,20
2018-01-01,16
2018-01-02,21
2018-01-03,26
2018-01-04,41
2018-01-05,31
2018-01-06,23
2018-01-07,13
2018-01-08,26
2018-01-09,29
2018-01-10,35
2018-01-11,34
2018-01-12,31
2018-01-13,18
2018-01-14,9
2018-01-15,24
2018-01-16,32
2018-01-17,29
2018-01-18,32
2018-01-19,23
2018-01-20,5
2018-01-21,13
2018-01-22,29
2018-01-23,37
2018-01-24,42
2018-01-25,43
2018-01-26,51
2018-01-27,30
2018-01-28,21
2018-01-29,34
2018-01-30,46
2018-01-31,27
2018-02-01,45
2018-02-02,35
2018-02-03,25
2018-02-04,20
2018-02-05,29
2018-02-06,25
2018-02-07,35
2018-02-08,33
2018-02-09,20
2018-02-10,24
2018-02-11,14
2018-02-12,22
2018-02-13,33
2018-02-14,27
2018-02-15,35
2018-02-16,20
2018-02-17,24
2018-02-18,14
2018-02-19,26
2018-02-20,21
2018-02-21,19
2018-02-22,23
2018-02-23,30
2018-02-24,12
2018-02-25,16
2018-02-26,22
2018-02-27,29
2018-02-28,24
2018-03-01,31
2018-03-02,23
2018-03-03,13
2018-03-04,14
2018-03-05,34
2018-03-06,44
2018-03-07,27
2018-03-08,52
2018-03-09,31
2018-03-10,11
2018-03-11,17
2018-03-12,26
2018-03-13,36
2018-03-14,27
2018-03-15,25
2018-03-16,39
2018-03-17,14
2018-03-18,11
2018-03-19,36
2018-03-20,26
2018-03-21,37
2018-03-22,24
2018-03-23,32
2018-03-24,9
2018-03-25,17
2018-03-26,17
2018-03-27,24
2018-03-28,32
2018-03-29,39
2018-03-30,33
2018-03-31,15
2018-04-01,11
2018-04-02,25
2018-04-03,34
2018-04-04,25
2018-04-05,33
2018-04-06,22
2018-04-07,12
2018-04-08,19
2018-04-09,31
2018-04-10,43
2018-04-11,30
2018-04-12,37
2018-04-13,37
2018-04-14,13
2018-04-15,14
2018-04-16,38
2018-04-17,50
